corpus_id,document_id,sentence_id,content
PoemBO,1,1,And indeed there will be time
PoemBO,1,2,"To wonder, ""Do I dare?"" and, ""Do I dare?"""
PoemBO,1,3,"Time to turn back and descend the stair,"
PoemBO,1,3,With a bald spot in the middle of my hair—
PoemBO,1,4,"(They will say: ""How his hair is growing thin!"")"
PoemBO,1,5,"My morning coat, my collar mounting firmly to the chin,"
PoemBO,1,6,"My necktie rich and modest, but asserted by a simple pin—"
PoemBO,1,7,"(They will say: ""But how his arms and legs are thin!"")"
PoemBO,1,8,Do I dare
PoemBO,1,9,Disturb the universe?
PoemBO,1,10,In a minute there is time
PoemBO,1,11,For decisions and revisions which a minute will reverse
